Term (English),Abbreviation,Type,Term (Malay),Term (Chinese),Term (Tamil),Short Description (English),Category,Administering Agency,Source URL,CSV Alias (variant spelling),Usage Notes,Translation Status
Assurance Package (AP) U-Save,AP,Scheme,U-Save,水电费回扣,யு-சேவ்,,Cost of Living Support,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,U-Save component; retained in Malay/Tamil,Research-verified
Baby Bonus Cash Gift,,Scheme,Hadiah Tunai Bonus Bayi,现金奖励,ரொக்க அன்பளிப்பு,"Government cash gift paid over 18 months for eligible newborns under the Baby Bonus Scheme (up to $13,000 for the third and subsequent child)",Family & Children,Ministry of Social and Family Development,Malay: https://www.mof.gov.sg/docs/librariesprovider3/budget2023/download/pdf/fy2023_budget_booklet_malay.pdf | https://www.translatedterms.gov.sg,,,CSV-verified
Baby Support Grant,,Scheme,,,,,Family & Children,,,,Discontinued; no multilingual publication,No official translation found
Budget 2026 CPF Top-Up,,Scheme,,,,,CPF & Finance,,,,,Needs sourcing
Budget 2026 Cost-of-Living Special Payment,,Scheme,,,,,Cost of Living Support,,,,,Needs sourcing
COVID-19 Driver Relief Fund (CDRF),CDRF,Scheme,,,,,Transport,,,,Discontinued; no multilingual publication,No official translation found
COVID-19 Recovery Grant,,Scheme,,,,,Social Support,,,,Discontinued; no multilingual publication,No official translation found
CPF Education Loan Scheme,,Scheme,,,,,CPF & Finance,,,,,Needs sourcing
CPF Housing Grant,,Scheme,,,,,Housing,,,,,Needs sourcing
CPF Housing Grant (Families) - Top-Up Grant,,Scheme,,,,,Housing,,,,,Needs sourcing
CPF Housing Grant for Executive Condominiums (ECs),ECs,Scheme,,,,,Housing,,,,,Needs sourcing
CPF Housing Scheme,,Scheme,,,,,Housing,,,,,Needs sourcing
CPF Investment Scheme (CPFIS),CPFIS,Scheme,Skim Pelaburan CPF,公积金投资计划,,Scheme allowing CPF members to invest their OA and SA savings in approved investment products to potentially earn higher returns,CPF & Finance,CPF Board,https://www.cpf.gov.sg/member/investments/investing-your-cpf-savings/cpf-investment-scheme | https://www.translatedterms.gov.sg,,,CSV-verified
CPF LIFE,,Scheme,CPF LIFE,公积金终身入息计划,மத்திய சேமநிதி லைஃப்,National annuity scheme providing CPF members with monthly payouts for life from age 65,CPF & Finance,CPF Board,Chinese: https://www.bereadywithcpf.gov.sg/5-things-to-know-about-cpf-life-chinese/ | https://www.translatedterms.gov.sg,,,CSV-verified
CPF Minimum Sum Topping Up Scheme,,Scheme,,,,,CPF & Finance,,,,,Needs sourcing
Car Park Label Scheme,,Scheme,,,,,Others,,,,,Needs sourcing
CareShield Life,,Scheme,CareShield Hayat,终身护保计划,கேர்ஷீல்டு லைஃப்,National long-term care insurance providing lifelong monthly payouts for those who develop severe disability,Healthcare & Elderly Care,CPF Board,Malay: https://www.cpf.gov.sg/content/dam/web/member/healthcare/documents/careshield_life_welcome_brochure_malay_2026.pdf | Chinese: https://www.cpf.gov.sg/content/dam/web/member/healthcare/documents/careshield_life_welcome_brochure_chinese_2026.pdf | Tamil: https://www.cpf.gov.sg/content/dam/web/member/healthcare/documents/careshield_life_welcome_brochure_tamil_2026.pdf,,,CSV-verified
CareShield Life / ElderShield Supplements,,Scheme,,,,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,"Base terms: CareShield Life=终身护保, ElderShield=乐龄健保; ""Supplements"" not separately translated",Research-verified (partial)
CareShield Life Premium Subsidies,,Scheme,,,,,Healthcare & Elderly Care,,,,Subsidy name appears English/descriptive only (cpf.gov.sg),No official translation found
Career Conversion Programme (CCP) for Individuals,CCP,Scheme,Program Penukaran Kerjaya,转业计划,வாழ்க்கைத்தொழில் மாற்றும் திட்டம்,Workforce Singapore programme helping mid-career individuals switch to new occupations or sectors through on-the-job training supported by salary subsidies,Employment & Training,Workforce Singapore,https://www.wsg.gov.sg/programmes-and-initiatives/career-conversion-programmes-individuals.html | https://www.translatedterms.gov.sg,Career Conversion Programme (CCP),,CSV-verified (abbr/name match)
Career Guidance Services,,Scheme,,,,,Employment & Training,,,,,Needs sourcing
Career Matching Services,,Scheme,,,,,Employment & Training,,,,,Needs sourcing
Career Trial for Jobseekers,,Scheme,,,,,Employment & Training,,,,,Needs sourcing
Caregivers Training Grant (CTG),CTG,Scheme,Geran Latihan Pengasuh,看护者培训津贴,பாராமரிப்பாளர்கள் பயிற்சி உதவித்தொகை,,Caregiving Support,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,,Research-verified
Child Development Account (CDA),CDA,Scheme,Akaun Pembangunan Anak,儿童培育户头,பிள்ளை மேம்பாட்டுக் கணக்கு,Special co-savings account under the Baby Bonus Scheme for children up to age 12,Family & Children,Ministry of Social and Family Development / Designated banks,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,,"When shortened, use ""CDA"" not ""CDA account""",CSV-verified
ComCare Assistance,,Scheme,,,,,Social Support,,,,,Needs sourcing
ComCare Interim Assistance,,Scheme,,,,,Social Support,,,,,Needs sourcing
ComCare Long Term Assistance (LTA),LTA,Scheme,Bantuan Jangka Panjang ComCare,社区关怀计划（长期援助）,சமூகநலன் (கொம்கேர்) நீண்டகால உதவி,"Long-term financial support for those permanently unable to work due to old age, illness or disability",Social Support,Ministry of Social and Family Development,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,ComCare Long-Term Assistance,,CSV-verified
ComCare Short-to-Medium-Term Assistance (SMTA),SMTA,Scheme,Bantuan Jangka Pendek hingga Sederhana ComCare,社区关怀计划（中短期援助）,"சமூகநலன் (கொம்கேர்) குறுகிய, இடைக்கால உதவி",Financial assistance for individuals and families facing temporary hardship such as unemployment or illness,Social Support,Ministry of Social and Family Development,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,ComCare Short-to-Medium-Term Assistance,,CSV-verified
ComLink+,,Scheme,ComLink+,提升版社区联系计划,கொம்லிங்க்பிளஸ்,,Social Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,Malay retains English brand,Research-verified (partial)
ComLink+ Progress Package for Debt Clearance,,Scheme,,,,,Social Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,"Sub-package name not separately translated; umbrella ""ComLink+ Progress Package""=提升版社区联系计划前进配套",No official translation found
ComLink+ Progress Package for Employment,,Scheme,,,,,Social Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,Sub-package name not separately translated; see umbrella,No official translation found
ComLink+ Progress Package for Home Ownership,,Scheme,,,,,Social Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,Sub-package name not separately translated; see umbrella,No official translation found
ComLink+ Progress Package for Preschool,,Scheme,,,,,Social Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,Sub-package name not separately translated; see umbrella,No official translation found
Community Care Apartments,,Scheme,,,,,Housing,,,,,Needs sourcing
Community Development Council (CDC) Vouchers,CDC,Scheme,Baucar CDC,社理会邻里购物券,சமூக மேம்பாட்டு மன்றப் பற்றுச்சீட்டுகள்,Vouchers for Singaporean households to spend at participating heartland merchants and hawker stalls,Cost of Living Support,People's Association (Community Development Councils),https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,CDC Vouchers,,CSV-verified (abbr/name match)
Community Health Assist Scheme (CHAS),CHAS,Scheme,Skim Bantuan Kesihatan Masyarakat (CHAS),社保援助计划,சமூக சுகாதார உதவித் திட்டம் (சாஸ்),Subsidised healthcare at participating GP and dental clinics for Singaporean citizens and PRs,Healthcare & Elderly Care,Ministry of Health,Chinese: https://www.moh.gov.sg/newsroom/ensuring-that-singaporeans-understand-support-schemes | https://www.translatedterms.gov.sg,,,CSV-verified
Company-Led Training (CLT) Programme,CLT,Scheme,,,,,Employment & Training,,,,Brand used in English officially,English name used officially
Contribute As You Earn (CAYE),CAYE,Scheme,,,,,CPF & Finance,,,,,Needs sourcing
Cost-of-Living (COL) Seniors' Bonus,COL,Scheme,,,,,Cost of Living Support,,,,,Needs sourcing
Cost-of-Living (COL) Special Payment,COL,Scheme,,,,,Cost of Living Support,,,,,Needs sourcing
Cost-of-Living (COL) U-Save Special Payment,COL,Scheme,U-Save,水电费回扣,யு-சேவ்,,Cost of Living Support,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,U-Save component name shown; 'Special Payment' qualifier not separately translated,Research-verified (partial)
Course Fees Relief,,Scheme,,,,,Education,,,,IRAS relief; not published in other languages,No official translation found
Critical Core Skills (CCS),CCS,Scheme,,,,,Employment & Training,,,,Brand used in English officially,English name used officially
Critical Infocomm Technology Resource Programme Plus (CITREP+),CITREP+,Scheme,,,,,Employment & Training,,,,Brand used in English officially,English name used officially
Deferred Downpayment Scheme (DDS),DDS,Scheme,,,,,Housing,,,,,Needs sourcing
Dependant's Protection Scheme (DPS),DPS,Scheme,,家属保障计划,,,CPF & Finance,,"Singaporean Mandarin Database, languagecouncils.sg",,Chinese only (language-council source),Research-verified (partial)
DigitalAccess@Home Scheme,,Scheme,,,,,Others,,,,,Needs sourcing
Disabled Persons Scheme (DPS),DPS,Scheme,,,,,Disability Support,,,,,Needs sourcing
Earned Income Relief,,Scheme,,,,,CPF & Finance,,,,IRAS relief; not published in other languages,No official translation found
Education and Career Guidance (ECG),ECG,Scheme,,,,,Others,,,,,Needs sourcing
Edusave Account,,Scheme,Akaun Edusave,教育储蓄户头,எடுசேவ் கல்விச் சேமிப்புக் கணக்கு,Government-managed savings account for Singapore Citizens in primary and secondary school funded by annual Edusave contributions,Others,Ministry of Education,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,,,CSV-verified
Edusave Account/Post-Secondary Education Account Top-Up,,Scheme,Tokokan Akaun Edusave / Akaun Pendidikan Posmenengah (PSEA),教育储蓄户头/中学后延续教育户头填补,எடுசேவ் கல்விச் சேமிப்புக் கணக்கு / உயர்நிலைப்பள்ளிக்குப் பிந்தைய கல்விக் கணக்கில் நிரப்புத்தொகை,,Education,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,,Research-verified
ElderFund,,Scheme,ElderFund,乐龄关护基金,எல்டர்ஃபண்டு,,Healthcare & Elderly Care,,"AIC Financial-Scheme / ACP brochures (CH/ML/TM), aic.sg",,Malay retains English name officially,Research-verified (partial)
ElderShield,,Scheme,ElderShield,乐龄健保计划,எல்டர்ஷீல்டு,"Predecessor long-term care insurance scheme for severe disability, now enhanced by CareShield Life",Healthcare & Elderly Care,CPF Board,Chinese: https://www.cpf.gov.sg/content/dam/web/member/healthcare/documents/careshield_life_welcome_brochure_chinese_2026.pdf | https://www.translatedterms.gov.sg,,,CSV-verified
Employment Support for Persons with Disabilities,,Scheme,Kredit Menyokong Pengambilan Pekerja Kurang Upaya,残障人士雇用补贴,உடற்குறையுள்ளோருக்கான வேலை நியமன உதவித்தொகை,,Disability Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf",,Maps to Enabling Employment Credit per research — confirm umbrella-term match,Research-verified (partial)
Employment Support for Seniors,,Scheme,Kredit Pekerjaan Warga Emas,年长员工就业补贴,மூத்த ஊழியருக்கான வேலை நியமன உதவித்தொகை,,Employment & Training,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,Maps to Senior Employment Credit per research — confirm umbrella-term match,Research-verified (partial)
Enabling Business Hub,,Scheme,Hab pekerjaan golongan kurang upaya,包容性商业中心,உடற்குறையுள்ளோர் வேலை ஆதரவுக்கான தொழில் மையம்,,Disability Support,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,,Research-verified
Enabling Transport Subsidy (ETS),ETS,Scheme,,,,,Transport,,,,,Needs sourcing
Enhanced CPF Housing Grant (Families),,Scheme,Geran Perumahan CPF yang Dipertingkatkan,公积金额外安居津贴,மேம்படுத்தப்பட்ட மத்திய சேமநிதி வீட்டு மானியம்,"Income-based CPF housing grant of up to $120,000 for first-timer families and singles buying an HDB flat (new or resale) to help lower-income households afford their first home",Housing,Housing & Development Board,https://www.hdb.gov.sg/residential/buying-a-flat/understanding-your-eligibility-and-housing-loan-options/cpf-housing-grants-for-hdb-flats/firsttimer-applicants | https://www.translatedterms.gov.sg,Enhanced CPF Housing Grant (EHG),,CSV-verified
Enhanced CPF Housing Grant (Singles),,Scheme,Geran Perumahan CPF yang Dipertingkatkan,公积金额外安居津贴,மேம்படுத்தப்பட்ட மத்திய சேமநிதி வீட்டு மானியம்,"Income-based CPF housing grant of up to $120,000 for first-timer families and singles buying an HDB flat (new or resale) to help lower-income households afford their first home",Housing,Housing & Development Board,https://www.hdb.gov.sg/residential/buying-a-flat/understanding-your-eligibility-and-housing-loan-options/cpf-housing-grants-for-hdb-flats/firsttimer-applicants | https://www.translatedterms.gov.sg,Enhanced CPF Housing Grant (EHG),,CSV-verified
Enhanced Climate Friendly Households Programme (Climate Vouchers),,Scheme,Baucar Iklim,气候优惠券,பருவநிலைப் பற்றுச்சீட்டுகள்,Vouchers for HDB and private residential households to offset cost of purchasing energy-efficient appliances,Others,Ministry of Sustainability and the Environment,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,Climate Vouchers,,CSV-verified (parenthetical match)
Enhancement for Active Seniors (EASE),EASE,Scheme,program Penambahbaikan Kediaman bagi Warga Emas Aktif (EASE),乐龄易计划,சுறுசுறுப்பான மூத்தோருக்கான மேம்பாட்டுத் திட்டம் (EASE),,Others,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,,Research-verified
Enhancement for Active Seniors (Private Housing) Programme (EASE (Private)),EASE (Private,Scheme,,,,,Housing,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,"Private-housing extension of EASE; same name + (Private), not separately translated. See EASE row.",Research-verified (partial)
Equipment Rental Scheme (ERS),ERS,Scheme,,,,,Disability Support,,,,,Needs sourcing
Executive Condominiums (ECs),ECs,Scheme,,共管式公寓,,,Housing,,"Singaporean Mandarin Database, languagecouncils.sg",,Chinese per Singapore Mandarin Council (NOT community form 执行共管公寓). Malay/Tamil not found,Research-verified (partial)
Family Care Scheme (FCS) (Proximity),,Scheme,,,,,Family & Children,,,,,Needs sourcing
Family and Parenthood Priority Scheme (FPPS),FPPS,Scheme,,,,,Family & Children,,,,,Needs sourcing
Financial Assistance for Child Care (CCFA),CCFA,Scheme,,,,,Family & Children,,,,,Needs sourcing
Financial top-up for enrolment in preschool by age 3,,Scheme,,,,,Family & Children,,,,,Needs sourcing
Fostering Scheme,,Scheme,Skim Keluarga Titipan,寄养计划,வளர்ப்புப் பெற்றோர் திட்டம்,,Family & Children,,"MSF List of Translated Terms (COS annexes), msf.gov.sg",,,Research-verified
Fresh Start Housing Scheme,,Scheme,Skim Perumahan Permulaan Baru,重新拥屋计划,புதுத்தொடக்க வீட்டுத் திட்டம்,Scheme helping second-timer families with young children living in public rental flats to own their first home,Housing,Housing & Development Board,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,,,CSV-verified
GRaduate Industry Traineeships (GRIT),GRIT,Scheme,,,,,Employment & Training,,,,Brand used in English officially,English name used officially
GRaduate Industry Traineeships @Gov (GRIT@Gov),GRIT@Gov,Scheme,,,,,Employment & Training,,,,Variant of GRIT; brand used in English,English name used officially
GST Voucher (GSTV) - Cash,GSTV,Scheme,Wang Tunai [Baucar GST],现金补助 [消费税补助券],ரொக்கம் [ஜிஎஸ்டி பற்றுச்சீட்டு],Annual cash payout for eligible Singaporeans under the GST Voucher Scheme,Cost of Living Support,Ministry of Finance,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,GST Voucher – Cash,,CSV-verified
GST Voucher (GSTV) - MediSave,GSTV,Scheme,MediSave [Baucar GST],保健储蓄 [消费税补助券],மெடிசேவ் [ஜிஎஸ்டி பற்றுச்சீட்டு],Annual MediSave top-up for eligible Singaporean seniors under the GST Voucher Scheme,Cost of Living Support,Ministry of Finance,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,GST Voucher – MediSave,,CSV-verified
GST Voucher (GSTV) - Service and Conservancy Charges (S&CC) Rebate,S&CC,Scheme,Rebat S&CC,组屋杂费回扣,"சேவை, பராமரிப்புக் கட்டணத் தள்ளுபடி",,Cost of Living Support,,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://isomer-user-content.by.gov.sg/153/1b8eceff-63b2-4871-938d-26f341960e3d/fy2025_budget_booklet_malay.pdf | https://isomer-user-content.by.gov.sg/153/005895a0-4e5c-4bee-ad23-54465bb0f80c/fy2025_budget_booklet_tamil.pdf,,,Research-verified
GST Voucher (GSTV) - U-Save,GSTV,Scheme,U-Save [Baucar GST],水电费回扣 [消费税补助券],யு-சேவ் [ஜிஎஸ்டி பற்றுச்சீட்டு],Utility rebate component of the GST Voucher Scheme for eligible HDB households,Cost of Living Support,Ministry of Finance,https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_malay.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_chinese.pdf | https://www.mof.gov.sg/docs/librariesprovider3/budget2025/download/pdf/fy2025_budget_booklet_tamil.pdf,GST Voucher – U-Save,,CSV-verified
Government Bursaries for Higher Education,,Scheme,,,,,Education,,,,,Needs sourcing
Job Opportunities (Yellow Ribbon),,Scheme,,,,,Others,,,,,Needs sourcing
Long-Term Visit Pass (LTVP),LTVP,Scheme,,,,,Others,,,,,Needs sourcing
Merdeka Generation Package,,Scheme,Pakej Generasi Merdeka,立国一代配套,மெர்டேக்கா தலைமுறைத் தொகுப்புத்திட்டம்,Healthcare support package for Singapore Citizens born from 1 January 1950 to 31 December 1959 who obtained citizenship by 31 December 1996,Healthcare & Elderly Care,Ministry of Health,Malay & Chinese: https://www.pmo.gov.sg/newsroom/pm-lee-hsien-loong-at-the-merdeka-generation-tribute-event-feb-2019/ | https://www.translatedterms.gov.sg,,,CSV-verified
NS Excellence Award (NSEA),NSEA,Scheme,,,,,Others,,,,NS brand used in English officially,English name used officially
NS HOME,,Scheme,,,,,Others,,,,"National Service Housing, Medical and Education; NS brand used in English officially",English name used officially
NS55 credits,,Scheme,,,,,Others,,,,Use sentence case (not a proper noun); NS brand used in English officially,English name used officially
Permanent Residency,,Scheme,,,,,Others,,,,,Needs sourcing
Pioneer Generation Package,,Scheme,Pakej Generasi Perintis,建国一代配套,முன்னோடித் தலைமுறைத் தொகுப்புத்திட்டம்,Comprehensive healthcare support package for Singapore Citizens born on or before 31 December 1949 who obtained citizenship by 31 December 1986,Healthcare & Elderly Care,Ministry of Health,Chinese: https://www.moh.gov.sg/newsroom/ensuring-that-singaporeans-understand-support-schemes | https://www.languagecouncils.sg/mandarin/en/learning-resources/singaporean-mandarin-database/terms/pioneer-generation | https://www.translatedterms.gov.sg,,,CSV-verified
Short-lease 2-room Flexi Flats,,Scheme,,,,,Housing,,,,,Needs sourcing
